iter	Logloss
175	0.6587516741
176	0.6586206752
177	0.6585062779
178	0.6583480748
179	0.6581828962
180	0.6580134626
181	0.6578851842
182	0.6578344727
183	0.6576521345
184	0.6575842634
185	0.6573346819
186	0.6571417411
187	0.657046317
188	0.656937221
189	0.656715611
190	0.6566283482
191	0.6564522879
192	0.6562813895
193	0.6560414342
194	0.6558777902
195	0.6556989397
196	0.6555415737
197	0.6553782087
198	0.6551598772
199	0.6550133929
200	0.6548320313
201	0.6545932617
202	0.6544197824
203	0.6543026646
204	0.6541862444
205	0.6539978376
206	0.6538233119
207	0.6537061244
208	0.6536212333
209	0.653472726
210	0.6533648158
211	0.6531726423
212	0.6530264369
213	0.652808245
214	0.6526402065
215	0.6524995117
216	0.6523087333
217	0.6522453265
218	0.6520876116
219	0.6519739118
220	0.6518233817
221	0.6516161412
222	0.6513591657
223	0.6512405134
224	0.6510279018
225	0.6509437779
226	0.650766183
227	0.6506467634
228	0.6505006278
229	0.6503754185
230	0.6502670201
231	0.6501692243
232	0.6500839844
233	0.6499337333
234	0.6498065709
235	0.6496796875
236	0.6495464565
237	0.649461635
238	0.6493152902
239	0.6491688058
240	0.6489248047
241	0.6487568359
242	0.6486492746
243	0.6484189453
244	0.6483384487
245	0.6481509487
246	0.6480828683
247	0.6479070871
248	0.6476903599
249	0.6475121373
250	0.6473889509
251	0.6472225167
252	0.6470331334
253	0.646934082
254	0.6467771345
255	0.6465581752
256	0.6464080636
257	0.6462391183
258	0.6460848912
259	0.6459523577
260	0.6458015485
261	0.6456342773
262	0.6454281529
263	0.6453585379
264	0.6452797852
265	0.6450873326
266	0.6449371512
267	0.6447474191
268	0.644561942
269	0.6443624442
270	0.6441729911
271	0.6440681501
272	0.6439202009
273	0.6437481166
274	0.6435546875
275	0.6433640485
276	0.6432047991
277	0.6430175781
278	0.6428503767
279	0.6427198661
280	0.6424955357
281	0.6423772321
282	0.642261091
283	0.6421736886
284	0.6420232282
285	0.6418080357
286	0.6416570871
287	0.6415705915
288	0.6413890904
289	0.6411891044
290	0.640961356
291	0.6408083147
292	0.6407199358
293	0.6406570871
294	0.6405843331
295	0.6404441964
296	0.6403194754
297	0.6402045201
298	0.6399848633
299	0.6397982003
300	0.6396655971
301	0.6395200893
302	0.6393601423
303	0.6391761998
304	0.6390408064
305	0.6389506138
306	0.6388285435
307	0.6386090262
308	0.6384388951
309	0.6383492606
310	0.6381849191
311	0.6379935128
312	0.6377896205
313	0.6375924944
314	0.6374092494
315	0.6372449777
316	0.6371535993
317	0.6369621233
318	0.6366741071
319	0.6365058594
320	0.6363657924
321	0.636238351
322	0.6360625698
323	0.6358761858
324	0.6357483259
325	0.6355839146
326	0.6354755859
327	0.635398019
328	0.6352637416
329	0.63511649
330	0.6349086914
331	0.6348148717
332	0.634609096
333	0.6344753069
334	0.6342722517
335	0.6341139788
336	0.6339946289
337	0.633879255
338	0.6337181222
339	0.6335184152
340	0.6334401507
341	0.6332766462
342	0.633172154
343	0.6330265765
344	0.6328902065
345	0.6328037109
346	0.6326580636
347	0.6325258092
348	0.6322952706
349	0.6322185407
350	0.6320797991
351	0.6319524275
352	0.631843192
353	0.6317563477
354	0.631632115
355	0.6314275949
356	0.6312564174
357	0.6311195592
358	0.6310008371
359	0.6308885324
360	0.63073012
361	0.6305888672
362	0.6304250837
363	0.6303295898
364	0.6301003069
365	0.6298939732
366	0.6297803432
367	0.6296015625
368	0.6293918108
369	0.6292957589
370	0.6291926618
371	0.6290359235
372	0.6288972517
373	0.6287127511
374	0.6285381557
375	0.6284001814
376	0.6281399275
377	0.6280137416
378	0.6278775112
379	0.6277149833
380	0.627585519
381	0.627398856
382	0.6273128488
383	0.6271206752
384	0.6268609096
385	0.6266741769
386	0.6265575474
387	0.626394601
388	0.6262804827
389	0.6260679408
390	0.6258860212
391	0.6257170759
392	0.625539481
393	0.6254166434
394	0.6252411412
395	0.6250799386
396	0.6249518694
397	0.6248301479
398	0.6247707868
399	0.6245449219
400	0.6244125977
401	0.6242910156
402	0.6240979353
403	0.6239167132
404	0.6236196987
405	0.6234400112
406	0.6232847377
407	0.6231515067
408	0.6229448242
409	0.6228256138
410	0.6226648298
411	0.6225262974
412	0.6223215681
413	0.6221900809
414	0.621983817
415	0.621906529
416	0.6216559012
417	0.6214970006
418	0.6213030134
419	0.6211134208
420	0.6209741908
421	0.620840611
422	0.6206739676
423	0.6204760045
424	0.6203320313
425	0.6201615513
426	0.6200379464
427	0.6198932757
428	0.619733817
429	0.6196448103
430	0.6195084403
431	0.6193473772
432	0.6191891044
433	0.6190335519
434	0.6188736049
435	0.6187781808
436	0.6186083287
437	0.6185465262
438	0.6184662388
439	0.6183164062
440	0.6181324637
441	0.6179836077
442	0.6178480748
443	0.6176909877
444	0.6175215541
445	0.6173869978
446	0.6172329799
447	0.6170301339
448	0.6167421875
449	0.6165907506
450	0.6163949498
451	0.6161741071
452	0.6160784738
453	0.6159175502
454	0.6157099609
455	0.6155605469
456	0.615436942
457	0.6152578125
458	0.615140625
459	0.6150731027
460	0.6149384766
461	0.6147498605
462	0.6145357143
463	0.6142912946
464	0.6140478516
465	0.6139388253
466	0.6138044782
467	0.6135699637
468	0.6134016462
469	0.6132641602
470	0.6131507394
471	0.6129335938
472	0.6127533482
473	0.6125121373
474	0.6123463309
475	0.6122593471
476	0.6121344866
477	0.6118896484
478	0.6117721122
479	0.6116697126
480	0.6115283901
481	0.611426409
482	0.6113215681
483	0.6111236049
484	0.61094601
485	0.6108417969
486	0.6107141462
487	0.61051988
488	0.6103756975
489	0.6102234933
490	0.6100521066
491	0.6098657924
492	0.6096531808
493	0.6094746791
494	0.609292899
495	0.6091837333
496	0.6090207868
497	0.6089106445
498	0.6087223075
499	0.6085438058
500	0.6084094587
501	0.6082908761
502	0.6081884766
503	0.6080585938
504	0.6079340123
505	0.6076884766
506	0.6075549665
507	0.6073677455
508	0.6071409738
509	0.6070369699
510	0.6069261998
511	0.6067994559
512	0.6066427176
513	0.6065184152
514	0.6063099888
515	0.6061625977
516	0.6060196708
517	0.6058300781
518	0.6057311663
519	0.6056000279
520	0.6054138532
521	0.60519601
522	0.6050807757
523	0.6049744699
524	0.6048411691
525	0.6047130301
526	0.604539481
527	0.6044063895
528	0.6042848075
529	0.6041682478
530	0.6040041853
531	0.6038675363
532	0.6037847377
533	0.6035811244
534	0.6033769531
535	0.6031463449
536	0.6029723075
537	0.6027746931
538	0.6026441127
539	0.6024396624
540	0.602293457
541	0.6021574358
542	0.6019637277
543	0.6018219866
544	0.6017227958
545	0.6015722656
546	0.6014172015
547	0.6012167969
548	0.6010484794
549	0.6008864397
550	0.6006830357
551	0.6004691685
552	0.6002719029
553	0.6001698521
554	0.5999937919
555	0.599894043
556	0.5997481864
557	0.5996688058
558	0.5994783761
559	0.5992914342
560	0.5991510184
561	0.5990338309
562	0.5988617467
563	0.5986407645
564	0.5984741908
565	0.5982225167
566	0.5980673131
567	0.5979729353
568	0.5978770926
569	0.5977437221
570	0.5975814732
571	0.5973807199
572	0.5971916853
573	0.5970224609
574	0.5968778599
575	0.5967106585
576	0.5965099749
577	0.596336356
578	0.5961379743
579	0.5959776786
580	0.595831822
581	0.5956660854
582	0.5954891183
583	0.5953623047
584	0.5951796875
585	0.5949732143
586	0.5948023856
587	0.5946924526
588	0.5945324358
589	0.5943309152
590	0.5941918248
591	0.5940429687
592	0.5939416853
593	0.5938356585
594	0.5937015206
595	0.5934584263
596	0.5932713449
597	0.593160505
598	0.593038923
599	0.5929165039
600	0.5928208705
601	0.5926240932
602	0.5925231585
603	0.5923313337
604	0.5921976144
605	0.5920511998
606	0.5918659319
607	0.591718192
608	0.5915896345
609	0.5915109515
610	0.5913733259
611	0.5912378627
612	0.5910650112
613	0.5908427734
614	0.5907063337
615	0.5905756138
616	0.5904666574
617	0.5903592355
618	0.5902244699
619	0.5900193917
620	0.5898869978
621	0.5897195173
622	0.5895223214
623	0.5893189174
624	0.5891900112
625	0.5890811942
626	0.5889456613
627	0.5887639509
628	0.5886404157
629	0.5885245536
630	0.5883233817
631	0.5882345145
632	0.5881566685
633	0.588011649
634	0.5878680246
635	0.5877469308
636	0.5875650112
637	0.5874216657
638	0.5872606027
639	0.5870580357
640	0.5868934152
641	0.586722168
642	0.5865837751
643	0.5864801897
644	0.5863381696
645	0.5861781529
646	0.5860131138
647	0.5857975028
648	0.5856427176
649	0.585491769
650	0.5853847656
651	0.5852473493
652	0.5851252441
653	0.5849597517
654	0.58477982
655	0.5846839425
656	0.5846324637
657	0.584492885
658	0.5842848772
659	0.5841743164
660	0.5840076381
661	0.5838776158
662	0.5837557547
663	0.5836221749
664	0.5835491071
665	0.5833924386
666	0.5831853725
667	0.5831185128
668	0.5829816197
669	0.5828779297
670	0.5826655273
671	0.582515904
672	0.5824006348
673	0.5822594169
674	0.5821228376
675	0.5820025809
676	0.5818512486
677	0.5817692522
678	0.5815840541
679	0.581390904
680	0.581255406
681	0.5811298131
682	0.580962507
683	0.580846889
684	0.5807362932
685	0.5805899833
686	0.5805116141
687	0.580390067
688	0.580249721
689	0.5801119559
690	0.5799426967
691	0.5798575963
692	0.5797659738
693	0.5796418806
694	0.5795493513
695	0.5794526018
696	0.5792694615
697	0.5791245815
698	0.5790435268
699	0.5788278111
700	0.5786603655
701	0.5785470843
702	0.5783871024
703	0.5782110073
704	0.5780637905
705	0.5779461147
706	0.5778454939
707	0.5777395368
708	0.577586635
709	0.5774172015
710	0.5773232073
711	0.5772101004
712	0.5770463867
713	0.5769088309
714	0.5767839704
715	0.5767262137
716	0.576581822
717	0.5764174456
718	0.5762488142
719	0.5761778041
720	0.5760653599
721	0.5759523926
722	0.5758264509
723	0.575636928
724	0.575484933
725	0.575370466
726	0.5753160575
727	0.5751204311
728	0.574954555
729	0.5748354492
730	0.5747248535
731	0.574654541
732	0.5745580706
733	0.5744234794
734	0.5742618234
735	0.5741287667
736	0.5739734235
737	0.5738510742
738	0.573650007
739	0.5734855259
740	0.5733368094
741	0.573201695
742	0.5730713588
743	0.5728571429
744	0.5727823661
745	0.5725730329
746	0.5725032785
747	0.572337228
748	0.5722612305
749	0.5720680106
750	0.5719183175
751	0.5717949219
752	0.5716425781
753	0.5715075335
754	0.5713858468
755	0.5712887137
756	0.5711308594
757	0.5710108817
758	0.5708868583
759	0.5707348284
760	0.5705841239
761	0.5704485561
762	0.5703391811
763	0.5702021833
764	0.5700624302
765	0.5698801618
766	0.5697989676
767	0.5696617257
768	0.5695725446
769	0.5694245257
770	0.5692703334
771	0.5691169434
772	0.5690451311
773	0.568949428
774	0.5688223354
775	0.5686693987
776	0.5685312849
777	0.5683861258
778	0.5681780483
779	0.5680882743
780	0.567972726
781	0.5678316476
782	0.5676886161
783	0.5675544782
784	0.5674628209
785	0.5673693499
786	0.5672353167
787	0.5671086775
788	0.5670147879
789	0.5668217076
790	0.5666990444
791	0.5665454102
792	0.5664579381
793	0.566372733
794	0.5662746931
795	0.5660947266
796	0.5659403948
797	0.5657814244
798	0.5656721889
799	0.565565046
800	0.5654541016
801	0.5653369838
802	0.5651845006
803	0.5649681571
804	0.5648538644
805	0.5647277483
806	0.5646282087
807	0.5644631696
808	0.564356829
809	0.5642197266
810	0.5641205706
811	0.5640213449
812	0.5639424526
813	0.5638371582
814	0.5636988351
815	0.5636155831
816	0.5634501953
817	0.5633239397
818	0.5632240862
819	0.5630296456
820	0.562899135
821	0.5627724609
822	0.5626598772
823	0.5624853864
824	0.5623194754
825	0.5622034389
826	0.5620562221
827	0.5619157366
828	0.5618326939
829	0.5616511579
830	0.5615408761
831	0.5613377511
832	0.5611662249
833	0.561071603
834	0.5609694824
835	0.560796317
836	0.5606021903
837	0.5604410226
838	0.5603662807
839	0.5602509766
840	0.5601493443
841	0.5599768415
842	0.5597600795
843	0.5596623884
844	0.5595382952
845	0.5594370466
846	0.5592432338
847	0.5590845075
848	0.558892613
849	0.5587749372
850	0.5586416713
851	0.5585283901
852	0.5584077148
853	0.5582061244
854	0.5580653599
855	0.5578743722
856	0.5577729143
857	0.5576679339
858	0.5575200195
859	0.5573932059
860	0.5572965262
861	0.5571459263
862	0.5569744699
863	0.5569065988
864	0.5568101981
865	0.5566879883
866	0.5565846122
867	0.5565126256
868	0.5563867885
869	0.5562439662
870	0.5561549247
871	0.5560501186
872	0.5558968331
873	0.5557671596
874	0.555655971
875	0.5555734515
876	0.5554225377
877	0.5553384835
878	0.5552806222
879	0.5551645159
880	0.5549952567
881	0.5548627232
882	0.554680106
883	0.5545271694
884	0.5543999721
885	0.5542908412
886	0.5541778041
887	0.5540436663
888	0.5539308036
889	0.5537783203
890	0.553677002
891	0.5535810547
892	0.5534227818
893	0.5533373326
894	0.5532171456
895	0.5530729632
896	0.5529426618
897	0.5528577706
898	0.552746582
899	0.5525854492
900	0.5524930246
901	0.5523745117
902	0.5522576032
903	0.5521395438
904	0.5520325753
905	0.5519117955
906	0.5517972238
907	0.5516762695
908	0.5515673828
909	0.5514262695
910	0.5511795829
911	0.5510581055
912	0.5509658203
913	0.5508273926
914	0.5506952079
915	0.5506401716
916	0.5504945592
917	0.550406529
918	0.550314767
919	0.5502413156
920	0.5500813337
921	0.5499180734
922	0.5497910854
923	0.5497138672
924	0.5496015276
925	0.5494805385
926	0.5493446917
927	0.5492020787
928	0.549066755
929	0.5489169224
930	0.5488169643
931	0.5487669503
932	0.5486392299
933	0.5485406669
934	0.5484098075
935	0.5482980957
936	0.5480574777
937	0.5479392439
938	0.5478271484
939	0.5476759208
940	0.5475753697
941	0.5474415458
942	0.5473135463
943	0.5471442871
944	0.5470833566
945	0.5469411272
946	0.5468793248
947	0.5466933594
948	0.5465648717
949	0.5464442313
950	0.5462686942
951	0.5461232213
952	0.5460171596
953	0.5459092146
954	0.545800851
955	0.5456993931
956	0.5455421317
957	0.5454420689
958	0.5453306362
959	0.5452384905
960	0.5451548549
961	0.5449995815
962	0.544875
963	0.5447547084
964	0.5446393694
965	0.5444910017
966	0.5444163993
967	0.5442513253
968	0.5440889369
969	0.543961635
970	0.5438452846
971	0.5437674386
972	0.5436553781
973	0.5435749512
974	0.5434375
975	0.5433163365
976	0.5431786412
977	0.5430733817
978	0.5429815848
979	0.5428217076
980	0.5427390137
981	0.5426431362
982	0.5423850446
983	0.5422904576
984	0.5421427874
985	0.5420774275
986	0.5419770857
987	0.5418916713
988	0.5418000837
989	0.5417273996
990	0.5416080497
991	0.541484096
992	0.5413628976
993	0.5412555804
994	0.5411584124
995	0.5409853516
996	0.540861084
997	0.5407490234
998	0.5406560059
999	0.5404958496
